"","Marca","Tiempo"
"1","ACH Foods",60
"2","Apple",4680
"3","Blason",2550
"4","Generación de leads Toyota Saltillo",1080
"5","Herdez",330
"6","INVEX",810
"7","Lunave",22650
"8","MSD",4965
"9","PITCH GREAT VALUE",210
"10","Pitch Superama",660
"11","Pitch Walmart Ecommerce",240
"12","Richs",4815
"13","Singer",3480
"14","Toyota",19005
"15","Walmart",6975
"16","Zuma",60
